Relaxation, Number of culverts
0.1 109   !
I1	I2	CE1	CE2	CS1	CS2	LRG	HAUT1	CLP	LBUS	Z1	Z2	CV	C56	CV5	C5	CT	HAUT2	FRIC	LENGTH	CIRC	D1	D2	A1	A2	AA
44704	68874	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	8	-100	0.025	50	1	0	0	-1.2	-1.2	2
44703	68873	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	8	-100	0.025	50	1	0	0	-1.2	-1.2	2
44702	68872	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	8	-100	0.025	50	1	0	0	-1.2	-1.2	2
44701	68871	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	8	-100	0.025	50	1	0	0	-1.2	-1.2	2
44700	68870	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	8	-100	0.025	50	1	0	0	-1.2	-1.2	2
44658	68827	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	9	-100	0.025	50	1	0	0	4.64	4.64	2
44657	68826	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	9	-100	0.025	50	1	0	0	4.64	4.64	2
44656	68825	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	9	-100	0.025	50	1	0	0	4.64	4.64	2
44655	68824	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	9	-100	0.025	50	1	0	0	4.64	4.64	2
44654	68823	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	9	-100	0.025	50	1	0	0	4.64	4.64	2
44610	68778	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	10	-100	0.025	50	1	0	0	4.1867	4.1867	2
44609	68777	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	10	-100	0.025	50	1	0	0	4.1867	4.1867	2
44608	68776	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	10	-100	0.025	50	1	0	0	4.1867	4.1867	2
44607	68775	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	10	-100	0.025	50	1	0	0	4.1867	4.1867	2
44606	68774	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	10	-100	0.025	50	1	0	0	4.1867	4.1867	2
44557	68724	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	11	-100	0.025	50	1	0	0	3.7331	3.7331	2
44556	68723	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	11	-100	0.025	50	1	0	0	3.7331	3.7331	2
44555	68722	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	11	-100	0.025	50	1	0	0	3.7331	3.7331	2
44554	68721	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	11	-100	0.025	50	1	0	0	3.7331	3.7331	2
44553	68720	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	11	-100	0.025	50	1	0	0	3.7331	3.7331	2
44489	68655	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	12	-100	0.025	50	1	0	0	3.28	3.28	2
44488	68654	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	12	-100	0.025	50	1	0	0	3.28	3.28	2
44487	68653	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	12	-100	0.025	50	1	0	0	3.28	3.28	2
44486	68652	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	12	-100	0.025	50	1	0	0	3.28	3.28	2
44485	68651	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	12	-100	0.025	50	1	0	0	3.28	3.28	2
44449	68614	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	13	-100	0.025	50	1	0	0	3.05278	3.05278	2
44448	68613	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	13	-100	0.025	50	1	0	0	3.05278	3.05278	2
44447	68612	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	13	-100	0.025	50	1	0	0	3.05278	3.05278	2
44446	68611	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	13	-100	0.025	50	1	0	0	3.05278	3.05278	2
44445	68610	1	1	1	1	11	-100	6	1	380	380	0	0	0	5	13	-100	0.025	50	1	0	0	3.05278	3.05278	2
47721	65756	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	1	-100	0.025	50	0	0	0	0	0	3
51008	62026	0	0	0	0	0	-100	4	0	0	0	2	0	0	0	1	-100	0.025	50	0	0	0	0	0	3
54154	58149	0	0	0	0	0	-100	4	0	0	0	3	0	0	0	1	-100	0.025	50	0	0	0	0	0	3
37477   21460	0	0	0	0	0	-100	4	0	0	0	4	0	0	0	1	-100	0.025	50	0	0	0	0	0	3
47676	65247	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	2	-100	0.025	50	0	0	0	0	0	3
50965	61496	0	0	0	0	0	-100	4	0	0	0	2	0	0	0	2	-100	0.025	50	0	0	0	0	0	3
54496	57598	0	0	0	0	0	-100	4	0	0	0	3	0	0	0	2	-100	0.025	50	0	0	0	0	0	3
38823   22645	0	0	0	0	0	-100	4	0	0	0	4	0	0	0	2	-100	0.025	50	0	0	0	0	0	3
47204	65191	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	3	-100	0.025	50	0	0	0	0	0	3
50514	62388	0	0	0	0	0	-100	4	0	0	0	2	0	0	0	3	-100	0.025	50	0	0	0	0	0	3
54453	58032	0	0	0	0	0	-100	4	0	0	0	3	0	0	0	3	-100	0.025	50	0	0	0	0	0	3
40454   24145	0	0	0	0	0	-100	4	0	0	0	4	0	0	0	3	-100	0.025	50	0	0	0	0	0	3
47159	65598	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	4	-100	0.025	50	0	0	0	0	0	3
50066	60901	0	0	0	0	0	-100	4	0	0	0	2	0	0	0	4	-100	0.025	50	0	0	0	0	0	3
53644	55975	0	0	0	0	0	-100	4	0	0	0	3	0	0	0	4	-100	0.025	50	0	0	0	0	0	3
41824   25358	0	0	0	0	0	-100	4	0	0	0	4	0	0	0	4	-100	0.025	50	0	0	0	0	0	3
47520	65532	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	5	-100	0.025	50	0	0	0	0	0	3
51219	60349	0	0	0	0	0	-100	4	0	0	0	2	0	0	0	5	-100	0.025	50	0	0	0	0	0	3
54359	56406	0	0	0	0	0	-100	4	0	0	0	3	0	0	0	5	-100	0.025	50	0	0	0	0	0	3
42931   27303	0	0	0	0	0	-100	4	0	0	0	4	0	0	0	5	-100	0.025	50	0	0	0	0	0	3
47775	64897	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	6	-100	0.025	50	0	0	0	0	0	3
50655	60652	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	6	-100	0.025	50	0	0	0	0	0	3
53816	57718	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	6	-100	0.025	50	0	0	0	0	0	3
48164	64865	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	7	-100	0.025	50	0	0	0	0	0	3
51432	61577	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	7	-100	0.025	50	0	0	0	0	0	3
54559	57683	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	7	-100	0.025	50	0	0	0	0	0	3
47274	65268	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	8	-100	0.025	50	0	0	0	0	0	3
50174	61518	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	8	-100	0.025	50	0	0	0	0	0	3
53745	56624	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	8	-100	0.025	50	0	0	0	0	0	3
47229	64758	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	9	-100	0.025	50	0	0	0	0	0	3
50538	60987	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	9	-100	0.025	50	0	0	0	0	0	3
54474	57069	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	9	-100	0.025	50	0	0	0	0	0	3
47606	66083	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	10	-100	0.025	50	0	0	0	0	0	3
49680	61411	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	10	-100	0.025	50	0	0	0	0	0	3
53275	57010	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	10	-100	0.025	50	0	0	0	0	0	3
47974	65110	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	11	-100	0.025	50	0	0	0	0	0	3
51252	60389	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	11	-100	0.025	50	0	0	0	0	0	3
54772	55944	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	11	-100	0.025	50	0	0	0	0	0	3
47490	65037	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	12	-100	0.025	50	0	0	0	0	0	3
50788	60795	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	12	-100	0.025	50	0	0	0	0	0	3
54714	56368	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	12	-100	0.025	50	0	0	0	0	0	3
47872	64994	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	13	-100	0.025	50	0	0	0	0	0	3
51156	61231	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	13	-100	0.025	50	0	0	0	0	0	3
54682	56821	0	0	0	0	0	-100	4	0	0	0	1	0	0	0	13	-100	0.025	50	0	0	0	0	0	3
